pr	path	diff_status	capabilities	overlap_404
404	android/app/src/main/java/com/ticketbox/domain/model/Reports.kt	modified	A12,SHARED	N
404	android/app/src/main/java/com/ticketbox/notification/budget/BudgetOverspendChecker.kt	modified	A01,A12,B03	N
404	android/app/src/main/java/com/ticketbox/ui/components/CurrencyReferenceDates.kt	added	A11,SHARED	N
404	android/app/src/main/java/com/ticketbox/ui/navigation/DataQualityRoute.kt	modified	A11	N
404	android/app/src/main/java/com/ticketbox/ui/navigation/ExpenseEditRoute.kt	modified	A03,A06,A09	N
404	android/app/src/main/java/com/ticketbox/ui/navigation/ExpenseFactRoute.kt	modified	A09,B12,SHARED	N
404	android/app/src/main/java/com/ticketbox/ui/navigation/MainNavGraph.kt	modified	A09,B12,SHARED	N
404	android/app/src/main/java/com/ticketbox/ui/navigation/ManualExpenseSubmissionRoute.kt	modified	A09,B12,SHARED	N
404	android/app/src/main/java/com/ticketbox/ui/screens/ExpenseEditScreen.kt	modified	A03,A06,A09	N
404	android/app/src/main/java/com/ticketbox/ui/screens/IncomePlanScreen.kt	modified	A12	N
404	android/app/src/main/java/com/ticketbox/ui/screens/PendingScreen.kt	modified	A04,SHARED	N
404	android/app/src/main/java/com/ticketbox/ui/screens/budget/BudgetSummaryCard.kt	modified	A12,B03	N
404	android/app/src/main/java/com/ticketbox/ui/screens/expense/ExpenseEditFormValues.kt	added	A03,A06,A09	N
404	android/app/src/main/java/com/ticketbox/ui/screens/expense/ExpenseFxStatusCard.kt	added	A03,A06,A09	N
404	android/app/src/main/java/com/ticketbox/ui/screens/expense/fact/FactOffsetSheets.kt	modified	A12,B12	N
404	android/app/src/main/java/com/ticketbox/ui/screens/expense/fact/FactOffsetsSection.kt	modified	A12,B12	N
404	android/app/src/main/java/com/ticketbox/ui/screens/pending/PendingExpenseReviewRow.kt	modified	A07,A09,A11,A08	N
404	android/app/src/main/java/com/ticketbox/ui/screens/pending/PendingFilters.kt	modified	A07,A09,A11	N
404	android/app/src/main/java/com/ticketbox/ui/screens/plan/BudgetAdviceInputsContent.kt	modified	A12,B03	N
404	android/app/src/main/java/com/ticketbox/ui/screens/plan/PlanOverviewComponents.kt	modified	A11,SHARED	N
404	android/app/src/main/java/com/ticketbox/ui/screens/settings/SyncStatusOverview.kt	modified	A11,SHARED	N
404	android/app/src/main/java/com/ticketbox/ui/screens/settings/SyncStatusScreen.kt	modified	A11,SHARED	N
404	android/app/src/main/java/com/ticketbox/ui/screens/stats/PendingOverviewCard.kt	modified	A04,SHARED	N
404	android/app/src/main/java/com/ticketbox/ui/screens/tasks/BackgroundTaskPresentation.kt	modified	A04,A05	N
404	android/app/src/main/java/com/ticketbox/viewmodel/ExpenseEditViewModel.kt	modified	A03,A06,A09	N
404	android/app/src/main/java/com/ticketbox/viewmodel/ExpenseEditViewModelCommands.kt	added	A03,A06,A09	N
404	android/app/src/main/java/com/ticketbox/viewmodel/ExpenseEditViewModelFx.kt	added	A03,A06,A09	N
404	android/app/src/main/java/com/ticketbox/viewmodel/ExpenseFactViewModel.kt	modified	A09,A10,SHARED	N
404	android/app/src/main/java/com/ticketbox/viewmodel/ExpenseFactViewModelCorrectionRecovery.kt	modified	A09,A10,SHARED	N
404	android/app/src/main/java/com/ticketbox/viewmodel/ExpenseFactViewModelObservation.kt	added	A09,A10,SHARED	N
404	android/app/src/main/java/com/ticketbox/viewmodel/ExpenseFactViewModelOffsets.kt	modified	A12,B12	N
404	android/app/src/main/java/com/ticketbox/viewmodel/ExpenseFactViewModelOffsetsCommands.kt	modified	A12,B12	N
404	android/app/src/main/java/com/ticketbox/viewmodel/ExpenseFactViewModelOffsetsVoid.kt	modified	A12,B12	N
404	android/app/src/main/java/com/ticketbox/viewmodel/IncomePlanViewModel.kt	modified	A12	N
404	android/app/src/main/java/com/ticketbox/viewmodel/OutboxStatusViewModel.kt	modified	A08,A09	N
404	android/app/src/main/java/com/ticketbox/viewmodel/PendingReviewQueue.kt	modified	A04,SHARED	N
404	android/app/src/main/java/com/ticketbox/viewmodel/PendingViewModel.kt	modified	A09,A10	N
404	android/app/src/main/java/com/ticketbox/viewmodel/PendingViewModelCommands.kt	added	A09,A10	N
404	android/app/src/main/java/com/ticketbox/viewmodel/PendingViewModelReviewActions.kt	modified	A09,A10	N
404	android/app/src/main/res/values/strings.xml	modified	SHARED,UI	N
404	android/app/src/main/res/values/strings_expense_fact.xml	modified	SHARED,UI	N
404	android/app/src/main/res/values/strings_settings_core.xml	modified	SHARED,UI	N
404	android/app/src/test/java/com/ticketbox/data/local/ExpenseDaoContractTest.kt	modified	TEST,SHARED	N
404	android/app/src/test/java/com/ticketbox/data/remote/dto/BackgroundTaskDtoContractTest.kt	modified	A04,A05	N
404	android/app/src/test/java/com/ticketbox/data/remote/dto/ExpenseDtoContractTest.kt	modified	TEST,SHARED	N
404	android/app/src/test/java/com/ticketbox/data/remote/dto/OpenApiContractGateTest.kt	modified	TEST,SHARED	N
404	android/app/src/test/java/com/ticketbox/data/repository/BudgetMappersTest.kt	modified	A12,B03	N
404	android/app/src/test/java/com/ticketbox/data/repository/ConfirmExpenseDispatcherTest.kt	modified	A06,A09	N
404	android/app/src/test/java/com/ticketbox/data/repository/ExpenseCorrectionGlobalRecoveryTest.kt	modified	TEST,SHARED	N
404	android/app/src/test/java/com/ticketbox/data/repository/ExpenseCorrectionQueueContinuationTest.kt	modified	TEST,SHARED	N
404	android/app/src/test/java/com/ticketbox/data/repository/ExpenseCorrectionRefreshRecoveryTest.kt	modified	TEST,SHARED	N
404	android/app/src/test/java/com/ticketbox/data/repository/ExpenseFxRepositoryTest.kt	added	TEST,SHARED	N
404	android/app/src/test/java/com/ticketbox/data/repository/ExpenseManualCreateOfflineTest.kt	modified	TEST,SHARED	N
404	android/app/src/test/java/com/ticketbox/data/repository/ExpenseOffsetDispatchersTest.kt	modified	A12,B12	N
404	android/app/src/test/java/com/ticketbox/data/repository/ExpenseOffsetPublicationTest.kt	added	A12,B12	N
404	android/app/src/test/java/com/ticketbox/data/repository/ExpenseOffsetRepositoryTest.kt	modified	A12,B12	N
404	android/app/src/test/java/com/ticketbox/data/repository/ExpensePendingRepositoryOutboxFallbackTest.kt	modified	A08,A09	N
404	android/app/src/test/java/com/ticketbox/data/repository/ExpensePendingRepositoryOutboxRecognizeTextTest.kt	modified	A08,A09	N
404	android/app/src/test/java/com/ticketbox/data/repository/ExpensePendingRepositoryOutboxSplitsTest.kt	modified	A08,A09	N
404	android/app/src/test/java/com/ticketbox/data/repository/ExpensePendingRepositoryOutboxStateActionsTest.kt	modified	A08,A09	N
404	android/app/src/test/java/com/ticketbox/data/repository/ExpensePendingRepositoryOutboxTestSupport.kt	modified	A08,A09	N
404	android/app/src/test/java/com/ticketbox/data/repository/ExpenseRepositoryConfirmedSyncTest.kt	modified	TEST,SHARED	N
404	android/app/src/test/java/com/ticketbox/data/repository/ExpenseRepositoryExpenseDetailTest.kt	modified	TEST,SHARED	N
404	android/app/src/test/java/com/ticketbox/data/repository/ExpenseRepositoryNotificationDraftTest.kt	modified	A01	N
404	android/app/src/test/java/com/ticketbox/data/repository/ExpenseUndoOriginalRecoveryTest.kt	added	TEST,SHARED	N
404	android/app/src/test/java/com/ticketbox/data/repository/FakeApiService.kt	modified	TEST,SHARED	N
404	android/app/src/test/java/com/ticketbox/data/repository/FakeExpenseDao.kt	modified	TEST,SHARED	N
404	android/app/src/test/java/com/ticketbox/data/repository/FakePendingMutationDao.kt	modified	A07,A08,A09	N
404	android/app/src/test/java/com/ticketbox/data/repository/LedgerRepositoryTestFixtures.kt	modified	TEST,SHARED	N
404	android/app/src/test/java/com/ticketbox/data/repository/MarkNotDuplicateDispatcherTest.kt	modified	TEST,SHARED	N
404	android/app/src/test/java/com/ticketbox/data/repository/OutboxTestFixtures.kt	modified	A08,A09	N
404	android/app/src/test/java/com/ticketbox/data/repository/PatchExpenseDispatcherTest.kt	modified	TEST,SHARED	N
404	android/app/src/test/java/com/ticketbox/data/repository/PendingThumbnailLoaderTest.kt	modified	A04,SHARED	N
404	android/app/src/test/java/com/ticketbox/data/repository/RecognizeTextDispatcherTest.kt	modified	TEST,SHARED	N
404	android/app/src/test/java/com/ticketbox/data/repository/RejectExpenseDispatcherTest.kt	modified	A10	N
404	android/app/src/test/java/com/ticketbox/data/repository/RetryOcrDispatcherTest.kt	modified	A01	N
404	android/app/src/test/java/com/ticketbox/data/repository/UndoExpenseDispatcherTest.kt	added	A10	N
404	android/app/src/test/java/com/ticketbox/ui/navigation/DataQualityRouteTest.kt	modified	A11	N
404	android/app/src/test/java/com/ticketbox/ui/screens/settings/SyncStatusFailureTest.kt	modified	TEST,SHARED	N
404	android/app/src/test/java/com/ticketbox/viewmodel/ExpenseCommandTestObservation.kt	added	TEST,SHARED	N
404	android/app/src/test/java/com/ticketbox/viewmodel/ExpenseEditViewModelTest.kt	modified	A03,A06,A09	N
404	android/app/src/test/java/com/ticketbox/viewmodel/ExpenseFactViewModelOffsetsTest.kt	modified	A12,B12	N
404	android/app/src/test/java/com/ticketbox/viewmodel/ExpenseFactViewModelRefreshRecoveryTest.kt	modified	TEST,SHARED	N
404	android/app/src/test/java/com/ticketbox/viewmodel/ExpenseFactViewModelTestSupport.kt	modified	TEST,SHARED	N
404	android/app/src/test/java/com/ticketbox/viewmodel/ExpenseFxViewModelTest.kt	added	TEST,SHARED	N
404	android/app/src/test/java/com/ticketbox/viewmodel/PendingAdviceInvalidationTest.kt	modified	A04,SHARED	N
404	android/app/src/test/java/com/ticketbox/viewmodel/PendingCommandBindingTest.kt	added	A04,SHARED	N
404	android/app/src/test/java/com/ticketbox/viewmodel/PendingViewModelReviewActionsTest.kt	modified	A09,A10	N
404	android/app/src/test/java/com/ticketbox/viewmodel/PendingViewModelReviewQueueTest.kt	modified	A09,A10	N
404	android/app/src/test/java/com/ticketbox/viewmodel/PendingViewModelReviewStateActionsTest.kt	modified	A09,A10	N
404	android/app/src/test/java/com/ticketbox/viewmodel/PendingViewModelReviewTestSupport.kt	modified	A09,A10	N
404	android/app/src/test/java/com/ticketbox/viewmodel/PendingViewModelReviewUndoBannerTest.kt	modified	A09,A10	N
404	backend/app/models/background_task.py	modified	A04,A05	N
404	backend/app/models/exchange.py	modified	A04,SHARED	N
404	backend/app/routes/_web_expense_edit_command.py	modified	A09,B12,SHARED	N
404	backend/app/routes/_web_expense_fx.py	added	A09,B12,SHARED	N
404	backend/app/routes/_web_expense_helpers.py	modified	A09,B12,SHARED	N
404	backend/app/routes/_web_expense_return_context.py	modified	B10,B12	N
404	backend/app/routes/_web_money_views.py	modified	A09,B12,SHARED	N
404	backend/app/routes/_web_rate_recovery.py	added	A09,B12,SHARED	N
404	backend/app/routes/expenses.py	modified	A09,B12,SHARED	N
404	backend/app/routes/imports.py	modified	A09,B12,SHARED	N
404	backend/app/routes/income_plans.py	modified	A12	N
404	backend/app/routes/web_budget_advise.py	modified	A09,B12,SHARED	N
404	backend/app/routes/web_budgets.py	modified	A09,B12,SHARED	N
404	backend/app/routes/web_debt_create.py	modified	A12	N
404	backend/app/routes/web_duplicates.py	modified	A09,B12,SHARED	N
404	backend/app/routes/web_expense_correction.py	modified	A09,B12,SHARED	N
404	backend/app/routes/web_expense_correction_rate.py	modified	A09,B12,SHARED	N
404	backend/app/routes/web_expense_edit.py	modified	A09,B12,SHARED	N
404	backend/app/routes/web_expense_lifecycle.py	modified	A10,B12	N
404	backend/app/routes/web_expense_offsets.py	modified	A12,B12	N
404	backend/app/routes/web_import_export.py	modified	A09,B12,SHARED	N
404	backend/app/routes/web_income_plans.py	modified	A12	N
404	backend/app/routes/web_pending.py	modified	A04,SHARED	N
404	backend/app/routes/web_reports.py	modified	A09,B12,SHARED	N
404	backend/app/runtime_compatibility_contract.py	modified	A12,SHARED	N
404	backend/app/schemas/_admin.py	modified	A12	N
404	backend/app/schemas/_budget_advisor.py	modified	A12	N
404	backend/app/schemas/_budgets.py	modified	A12	N
404	backend/app/schemas/_exchange.py	modified	A04,SHARED	N
404	backend/app/schemas/_expense.py	modified	A12	N
404	backend/app/schemas/_income_plan.py	modified	A12	N
404	backend/app/services/background_task_executor.py	modified	A04,A05	N
404	backend/app/services/background_task_handler_api.py	modified	A04,A05	N
404	backend/app/services/background_task_registry.py	modified	A04,A05	N
404	backend/app/services/background_task_response.py	modified	A04,A05	N
404	backend/app/services/background_task_service.py	modified	A04,A05	N
404	backend/app/services/background_task_worker.py	modified	A04,A05	N
404	backend/app/services/budget_advisor_service/_inputs_builder.py	modified	A04,A06,SHARED	N
404	backend/app/services/budget_service.py	modified	A04,A06,SHARED	N
404	backend/app/services/csv_import_batch_service/__init__.py	modified	A01	N
404	backend/app/services/csv_import_batch_service/_apply.py	modified	A01	N
404	backend/app/services/csv_import_batch_service/_queries.py	modified	A01	N
404	backend/app/services/data_quality_service.py	modified	A11	N
404	backend/app/services/debt_service/_money.py	modified	A12	N
404	backend/app/services/exchange_rate_service.py	modified	A02,A03	N
404	backend/app/services/expense_edit_command_service.py	modified	A04,A06,SHARED	N
404	backend/app/services/expense_offset_money.py	modified	A12,B12	N
404	backend/app/services/expense_response_service.py	modified	A04,A06,SHARED	N
404	backend/app/services/expense_review_command_service.py	modified	A04,A06,SHARED	N
404	backend/app/services/expense_service/_create.py	modified	A04,A06,SHARED	N
404	backend/app/services/expense_service/_fx.py	added	A04,A06,SHARED	N
404	backend/app/services/expense_service/_update.py	modified	A04,A06,SHARED	N
404	backend/app/services/expense_split_service.py	modified	A04,A06,SHARED	N
404	backend/app/services/fx_rate_provider.py	modified	A04,SHARED	N
404	backend/app/services/fx_rate_scheduler.py	modified	A04,SHARED	N
404	backend/app/services/import_service.py	modified	A04,A06,SHARED	N
404	backend/app/services/income_plan_service/_forecast.py	modified	A12	N
404	backend/app/services/money_projection_service.py	modified	A12,B03	N
404	backend/app/services/pending_enrichment_task_service.py	modified	A04,SHARED	N
404	backend/app/services/pending_fx_task_service.py	added	A02,A04,A05,A06	N
404	backend/app/services/recurring_occurrence_query.py	modified	B03,SHARED	N
404	backend/app/services/recurring_service.py	modified	B03,SHARED	N
404	backend/app/services/reports_service/_history.py	modified	A04,A06,SHARED	N
404	backend/app/static/web/desktop/drawer.js	modified	B05,A11,SHARED	N
404	backend/app/templates/owner/fx.html	modified	A04,SHARED	N
404	backend/app/templates/web/_edit_drawer.html	modified	A11,SHARED	N
404	backend/app/templates/web/_expense_core_fields.html	modified	A11,SHARED	N
404	backend/app/templates/web/_expense_fx.html	added	A11,SHARED	N
404	backend/app/templates/web/_fact_offsets.html	modified	A12,B12	N
404	backend/app/templates/web/_fact_rate_recovery.html	added	A11,SHARED	N
404	backend/app/templates/web/budget_advise.html	modified	A11,SHARED	N
404	backend/app/templates/web/budgets.html	modified	A11,SHARED	N
404	backend/app/templates/web/data_quality.html	modified	A11	N
404	backend/app/templates/web/debt_new.html	modified	A12	N
404	backend/app/templates/web/duplicates.html	modified	A11,SHARED	N
404	backend/app/templates/web/edit.html	modified	A11,SHARED	N
404	backend/app/templates/web/import_batch.html	modified	A11,SHARED	N
404	backend/app/templates/web/import_export.html	modified	A11,SHARED	N
404	backend/app/templates/web/income_plans.html	modified	A12	N
404	backend/app/templates/web/partials/reference_rates.html	added	A11,SHARED	N
404	backend/app/templates/web/pending.html	modified	A04,SHARED	N
404	backend/app/templates/web/reports.html	modified	A11,SHARED	N
404	backend/migrations/versions/20260912_0001_fx_continuation.py	added	A12	N
404	backend/scripts/_audit_android_outbox_dispatcher_coverage.py	modified	A09,A12,SHARED	N
404	backend/scripts/_audit_mutate_token_coverage.py	modified	A09,A12,SHARED	N
404	backend/scripts/_audit_route_pair_consistency.py	modified	A09,A12,SHARED	N
404	backend/scripts/_audit_tag_relation_contract.py	modified	A09,A12,SHARED	N
404	backend/scripts/codebase_audit_gate.py	modified	A09,A12,SHARED	N
404	backend/tests/api_contract_helpers.py	modified	TEST,SHARED	N
404	backend/tests/conftest.py	modified	TEST,SHARED	N
404	backend/tests/fixtures/drawer_fx_original_form_contract.html	added	TEST,SHARED	N
404	backend/tests/test_alembic_fx_continuation_migration.py	added	TEST,SHARED	N
404	backend/tests/test_background_task_claim.py	modified	A04,A05	N
404	backend/tests/test_background_task_completion.py	added	A04,A05	N
404	backend/tests/test_background_task_continuation.py	modified	A04,A05	N
404	backend/tests/test_background_tasks.py	modified	A04,A05	N
404	backend/tests/test_budget_inputs_projection.py	modified	A12,B03	N
404	backend/tests/test_correction_fx_continuation_api.py	modified	TEST,SHARED	N
404	backend/tests/test_csv_import_apply_desktop_revalidation.py	modified	A01	N
404	backend/tests/test_csv_import_apply_integrity.py	modified	A01	N
404	backend/tests/test_csv_import_batches_apply_lease.py	modified	A01	N
404	backend/tests/test_csv_import_batches_create_validate.py	modified	A01	N
404	backend/tests/test_csv_import_fx_tasks.py	added	A01	N
404	backend/tests/test_debt_repayment.py	modified	A12	N
404	backend/tests/test_debts.py	modified	A12	N
404	backend/tests/test_exchange_rates.py	modified	A02,A03	N
404	backend/tests/test_expense_captured_currency_contract.py	modified	TEST,SHARED	N
404	backend/tests/test_expense_local_ref_mutation.py	modified	TEST,SHARED	N
404	backend/tests/test_expense_offset_fx.py	modified	A12,B12	N
404	backend/tests/test_expense_offset_lifecycle.py	modified	A12,B12	N
404	backend/tests/test_expense_state_machine_optimistic_concurrency.py	modified	TEST,SHARED	N
404	backend/tests/test_expense_statemachine_idempotency.py	modified	TEST,SHARED	N
404	backend/tests/test_expense_undo_reject.py	modified	TEST,SHARED	N
404	backend/tests/test_foreign_bill_capture_producers.py	added	A01,A02,A06	N
404	backend/tests/test_foreign_bill_continuation.py	added	A01,A02,A06	N
404	backend/tests/test_frozen_money_rate_recovery.py	added	TEST,SHARED	N
404	backend/tests/test_fx_frankfurter_and_fallback.py	modified	TEST,SHARED	N
404	backend/tests/test_fx_historical_cache.py	added	TEST,SHARED	N
404	backend/tests/test_fx_historical_provider.py	added	TEST,SHARED	N
404	backend/tests/test_fx_scheduler_recovery.py	modified	TEST,SHARED	N
404	backend/tests/test_import_export.py	modified	TEST,SHARED	N
404	backend/tests/test_ledger_query_scope_guard.py	modified	TEST,SHARED	N
404	backend/tests/test_manual_create_receipt.py	modified	TEST,SHARED	N
404	backend/tests/test_manual_create_receipt_api.py	modified	TEST,SHARED	N
404	backend/tests/test_manual_local_ref_replay.py	modified	TEST,SHARED	N
404	backend/tests/test_member_repayment_proposal_fx.py	modified	TEST,SHARED	N
404	backend/tests/test_outbox_dispatcher_coverage_audit.py	modified	TEST,SHARED	N
404	backend/tests/test_pending_enrichment_task_service.py	modified	A04,SHARED	N
404	backend/tests/test_pending_fx_capacity_continuation.py	added	A02,A04,A05,A06	N
404	backend/tests/test_pending_fx_task_execution.py	added	A02,A04,A05,A06	N
404	backend/tests/test_pending_fx_task_service.py	added	A02,A04,A05,A06	N
404	backend/tests/test_period_report_history_projection.py	modified	A12,B03	N
404	backend/tests/test_plan_valuation_reference.py	added	TEST,SHARED	N
404	backend/tests/test_postgres_ci_lane_runner.py	modified	TEST,SHARED	N
404	backend/tests/test_postgres_ci_topology.py	modified	TEST,SHARED	N
404	backend/tests/test_published_fact_revision_boundary.py	modified	TEST,SHARED	N
404	backend/tests/test_route_security_matrix.py	modified	TEST,SHARED	N
404	backend/tests/test_runtime_compatibility.py	modified	TEST,SHARED	N
404	backend/tests/test_tags.py	modified	TEST,SHARED	N
404	backend/tests/test_upload_enrichment_admission.py	modified	A01	N
404	backend/tests/test_upload_intent_continuity.py	modified	A01	N
404	backend/tests/test_uploads.py	modified	A01	N
404	backend/tests/test_web_correction_rate.py	modified	TEST,SHARED	N
